"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1501","TC-UI-01 | Agregar producto al carrito actualiza el badge","UI [standard]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1082","TC-UI-10 | El total en resumen = subtotal + tax","UI [error]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","6250","TC-UI-10 | El total en resumen = subtotal + tax","UI [performance_glitch]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","6396","TC-UI-13 | Los ítems del inventario tienen dimensiones correctas y no se superponen","UI [performance_glitch]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","6624","TC-UI-11 | Agregar 3 artículos al carrito actualiza el badge a 3","UI [problem]","2026-06-16","failed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","944","TC-UI-08 | Checkout sin First Name muestra mensaje de error","UI [visual]","2026-06-16","passed","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","31624","TC-UI-04 | Checkout completo con datos válidos muestra confirmación","UI [error]","2026-06-16","broken","2026-06-16","💳 Checkout Flow","ui/checkout.spec.ts","",""
"","1304","TC-UI-03 | Contador se actualiza al agregar múltiples productos","UI [standard]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1016","TC-UI-13 | Los ítems del inventario tienen dimensiones correctas y no se superponen","UI [error]","2026-06-16","passed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
"","937","TC-UI-01 | Agregar producto al carrito actualiza el badge","UI [error]","2026-06-16","passed","2026-06-16","🛒 Cart Management","ui/cart.spec.ts","",""
"","1061","TC-UI-12 | Ordenar productos Z→A muestra los nombres en orden descendente","UI [error]","2026-06-16","failed","2026-06-16","📦 Inventory Page","ui/inventory.spec.ts","",""
